Company,Field
Amazon,E-commerce
Amazon,Cloud
AOL,Email
AOL,News
Apple,Electronics
Apple,Operating System
Apple,Electronics
Apple,Computer Accessories
Facebook,Advertising
Facebook,Social Network Service
Google,Social Network Service
Google,Operating System
Google,Search Engine
Google,News
Google,Advertising
Google,Productivity Tools
Google,Email
Google,Cloud
Google,Enterprise Products
Groupon,E-commerce
LinkedIn,Social Network Service
Microsoft,Email
Microsoft,Enterprise Products
Microsoft,Productivity Tools
Microsoft,Operating System
Microsoft,Electronics
Microsoft,News
Microsoft,Computer Accessories
Microsoft,Search Engine
Microsoft,Cloud
Samsung,Electronics
Square,Mobile Payment
Twitter,Social Network Service
Yahoo,Search Engine
Yahoo,Email
Yahoo,News
Zynga,Online Gaming Services
